국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,학년전교육;남자,학년전교육;여자,학년전교육;합계,초등교육;남자,초등교육;여자,초등교육;합계,중등교육;남자,중등교육;여자,중등교육;합계,고등교육;남자,고등교육;여자,고등교육;합계,경제활동참여율;남자,경제활동참여율;여자
리히텐슈타인,6839145106.862,,,,14.4,12.5,99732.0,0.307,,,,101.0,105.2,103.1,106.3,102.9,104.7,129.1,105.1,117.1,43.6,27.4,35.6,,
리투아니아,53722883091.351,54639938780.235,1.59,1.67,68.0,13.0,29775.0,0.02,15.478,63.904,20.618,88.6,87.7,88.2,103.9,103.9,103.9,110.6,106.0,108.4,61.4,84.0,72.4,67.574,56.235
룩셈부르크,70919958015.525,71104919108.141,1.55,1.45,91.5,12.2,65543.0,1.96,15.558,70.052,14.391,92.9,90.8,91.9,102.6,102.0,102.3,102.6,104.8,103.7,18.2,20.1,19.2,63.728,55.124
마카오,55302446577.888,55153707948.702,1.19,1.2,100.0,,,1.379,14.354,73.674,11.971,96.5,94.1,95.3,102.0,100.8,101.4,99.9,100.1,100.0,73.7,96.2,84.7,,
북마케도니아,12679934731.389,12547086168.49,1.5,1.5,,9.7,12874.0,0.004,16.31,69.213,14.477,40.4,41.6,41.0,97.2,97.1,97.1,82.5,80.3,81.4,36.7,48.6,42.5,,
마다가스카르,13614412550.872,14191911512.041,4.4,4.11,38.5,6.1,1404.0,2.641,40.063,56.837,3.101,35.9,39.3,37.6,142.0,143.1,142.5,36.7,37.1,36.9,5.5,5.1,5.3,89.006,83.446
말라위,9712994564.916,10862613621.906,4.88,4.25,17.4,4.6,1159.0,2.655,42.992,54.366,2.642,,,,143.2,147.8,145.5,41.2,38.6,39.9,,,,,
말레이시아,358715057123.739,364681367531.684,2.11,2.01,77.2,10.2,27227.0,1.294,23.448,69.368,7.184,98.5,101.6,100.0,104.6,106.0,105.3,83.1,88.0,85.4,40.5,47.1,43.7,77.169,50.899
몰디브,5299773143.696,5642179170.459,2.11,1.88,40.7,6.8,12549.0,1.789,19.6,76.807,3.593,90.3,92.9,91.5,96.2,98.1,97.1,,,,16.6,59.8,31.2,,
말리,17070866299.095,17281815733.96,6.35,5.92,43.9,2.4,1965.0,2.971,47.007,50.516,2.477,6.6,7.1,6.9,84.6,75.6,80.2,45.9,37.1,41.5,6.3,2.7,4.5,,
몰타,14864712990.163,15215714309.097,1.4,1.45,94.7,11.3,34795.0,4.124,14.374,64.302,21.324,108.3,107.1,107.7,104.9,105.1,105.0,104.8,104.7,104.8,46.0,63.2,54.3,66.773,45.928
마셜제도,221588900.0,239462200.0,,,,10.9,4633.0,0.683,,,,,,,,,,,,,,,,,
모리타니,7050987978.121,7600650037.846,4.88,4.59,55.3,4.6,3746.0,2.702,39.685,57.137,3.178,,,,93.6,99.8,96.7,32.5,32.6,32.6,6.6,3.3,5.0,,
모리셔스,14181930162.416,14046337854.847,1.49,1.39,40.8,9.4,22724.0,0.002,16.785,70.695,12.52,100.8,100.5,100.7,100.6,102.4,101.5,92.5,99.1,95.7,33.9,47.5,40.6,,
멕시코,1222348807283.2,1268870527160.03,2.29,2.14,80.7,8.6,17628.0,1.058,25.835,66.547,7.618,72.7,74.8,73.7,105.5,106.0,105.8,100.7,108.2,104.4,39.8,40.6,40.2,78.328,44.254
미크로네시아,401932300.0,408060600.0,3.33,3.08,,7.7,3700.0,1.058,31.193,64.417,4.39,,,,,,,,,,,,,,
몰도바,11456728401.307,11968699005.98,1.28,1.26,42.8,11.6,6833.0,1.721,15.888,71.619,12.493,87.0,85.9,86.5,91.4,91.1,91.3,87.1,86.5,86.8,35.7,46.7,41.1,45.773,40.018
모나코,7194024563.061,7423709839.919,,,100.0,,,0.708,,,,,,,,,,,,,,,,,
몽골,13108769495.747,13996719329.424,2.84,2.9,68.7,10.2,10784.0,1.634,31.093,64.595,4.312,85.5,85.2,85.3,104.1,101.8,102.9,,,,53.2,75.3,64.2,,
모로코,118096227400.092,119700325461.938,2.6,2.42,63.5,5.5,7480.0,1.196,26.768,65.625,7.607,58.6,49.1,54.0,114.9,109.8,112.4,84.2,75.3,79.9,34.3,33.3,33.8,69.908,21.35
모잠비크,14845870050.709,15291448211.603,5.23,4.89,37.1,3.5,1154.0,2.887,44.063,53.075,2.862,,,,112.0,103.6,107.8,37.4,33.4,35.4,7.9,6.3,7.1,,
미얀마,68697759361.231,79844294296.065,2.25,2.17,31.1,5.0,5764.0,0.672,25.486,68.278,6.236,9.7,9.9,9.8,115.3,109.1,112.2,61.5,67.1,64.3,15.6,22.0,18.8,,
나미비아,13681065175.486,12565772084.744,3.63,3.42,52.0,6.9,9683.0,1.843,36.841,59.573,3.586,32.9,34.1,33.5,126.5,121.8,124.2,,,,15.3,30.3,22.9,,
네팔,33111525182.713,34186180694.929,2.32,1.93,20.6,4.9,2748.0,1.829,28.81,65.362,5.828,93.3,83.3,88.3,142.6,145.2,143.9,71.4,76.8,74.1,11.5,11.6,11.6,,
네덜란드,914043438179.607,907050863145.097,1.73,1.66,92.2,12.2,50013.0,0.553,15.702,64.264,20.035,94.2,94.4,94.3,104.2,104.2,104.2,134.7,136.5,135.6,79.3,90.9,85.0,68.743,58.13
뉴질랜드,208870426803.316,209127454522.901,2.04,1.9,86.7,12.7,35108.0,2.087,19.431,64.201,16.368,,,,99.8,100.2,100.0,111.1,118.2,114.6,67.9,97.2,82.0,75.21,64.678
니카라과,13025208219.769,12611218627.063,2.54,2.42,59.0,6.8,4790.0,1.2,29.501,64.822,5.678,,,,,,,,,,,,,84.164,49.87
니제르,12846952856.846,12911689659.351,7.35,6.95,16.6,2.0,912.0,3.771,49.672,47.732,2.596,7.7,8.1,7.9,80.1,69.2,74.7,27.7,20.7,24.3,5.0,2.4,3.7,,
나이지리아,397190484464.308,448120428858.769,5.74,5.42,52.0,6.5,5086.0,2.543,43.488,53.774,2.738,,,,,,,,,,,,,57.755,47.561
북마리아나제도,1302000000.0,1182000000.0,,,,,,0.599,,,,,,,,,,,,,,,,,
노르웨이,436999692591.454,405510000000.0,1.82,1.68,83.0,12.6,68059.0,0.589,17.257,65.216,17.527,95.2,95.5,95.4,100.3,100.2,100.3,119.4,114.2,116.9,66.3,98.7,82.0,66.987,60.277
오만,79788768968.949,76331518668.577,2.9,2.93,86.3,9.7,37039.0,2.611,22.487,75.002,2.511,52.5,55.1,53.8,104.0,108.9,106.4,109.0,102.6,105.8,26.9,54.8,38.1,90.39,30.983
파키스탄,314567541558.339,278221906022.841,3.78,3.55,37.2,5.2,5190.0,1.978,34.82,60.832,4.349,82.0,71.2,76.8,97.0,83.7,90.6,44.4,36.1,40.4,10.0,8.7,9.3,81.715,22.182
팔라우,280435700.0,268354900.0,,,,12.4,16720.0,0.504,,,,,,,,,,,,,,,,,
파나마,64928300000.0,66787900000.0,2.6,2.47,68.4,10.2,20455.0,1.596,26.495,64.966,8.539,61.5,63.0,62.2,95.4,93.4,94.4,74.1,78.3,76.1,,,,79.816,53.435
파푸아뉴기니,24109509852.74,24829107011.07,3.84,3.59,13.3,4.6,3686.0,1.929,35.146,61.282,3.572,,,,,,,,,,,,,47.905,46.053
파라과이,40225448340.632,37906944074.613,2.6,2.45,62.2,8.5,11720.0,1.24,28.894,64.296,6.811,,,,,,,,,,,,,84.536,59.41
페루,222574697255.522,228470919605.669,2.4,2.27,78.3,9.2,12323.0,1.409,24.692,66.583,8.725,98.4,98.1,98.2,104.9,102.1,103.5,106.8,102.5,104.7,68.7,72.7,70.7,85.463,70.584
필리핀,346842094174.513,376823278560.849,3.05,2.58,47.4,9.4,9540.0,1.345,30.043,64.446,5.512,82.3,79.0,80.7,109.4,105.5,107.5,82.0,90.6,86.2,30.8,40.4,35.5,73.239,46.195
폴란드,587408980271.71,595862086928.211,1.33,1.42,60.0,12.3,27626.0,0.039,15.218,66.043,18.739,81.7,80.6,81.1,100.0,100.0,100.0,111.7,108.1,109.9,54.4,81.9,67.8,65.065,48.327
포르투갈,242313116577.967,239510770948.274,1.28,1.29,66.3,9.2,27935.0,0.187,13.054,64.174,22.772,94.6,93.2,93.9,107.9,104.4,106.2,121.1,118.7,119.9,60.1,67.7,63.9,63.639,53.85
푸에르토리코,100925000000.0,104914600000.0,1.5,1.22,93.6,,,0.011,15.752,63.42,20.827,,,,,,,,,,,,,,
카타르,183334953813.209,175837550996.185,2.0,1.88,99.2,9.7,110489.0,1.715,13.639,84.672,1.689,59.2,61.0,60.1,103.5,103.1,103.3,,,,6.7,51.6,16.6,95.126,56.762
루마니아,241457403085.042,249696854574.199,1.51,1.62,54.2,11.0,23906.0,0.442,15.521,65.248,19.231,83.9,84.0,84.0,85.7,84.6,85.2,91.1,91.4,91.3,43.8,55.4,49.4,64.396,44.879
러시아,1657328865709.99,1687448525466.61,1.7,1.82,74.8,12.0,25036.0,0.209,18.362,66.129,15.509,87.7,85.8,86.8,102.8,102.3,102.6,104.7,102.1,103.4,75.0,89.1,81.9,69.757,54.41
르완다,9640280084.196,10355974217.374,4.25,4.1,17.4,4.4,1959.0,2.543,39.474,57.406,3.119,21.6,22.5,22.0,138.2,137.2,137.7,36.6,41.1,38.9,7.8,7.0,7.4,,
사모아,821496064.526,852250190.985,4.16,3.9,,10.6,5885.0,0.666,37.198,57.718,5.084,42.1,47.4,44.7,108.4,108.7,108.5,,,,,,,,
산마리노,1655300872.534,1616369645.996,,,97.5,,,0.218,,,,94.5,98.5,96.4,100.4,116.9,108.1,71.5,63.8,67.9,48.6,36.0,42.5,,
상투메프린시페,412253809.729,427425039.684,4.6,4.35,74.4,6.4,3024.0,1.895,41.758,55.234,3.008,,,,108.5,105.0,106.8,82.9,95.9,89.3,,,,,
사우디아라비아,786521831573.333,792966838160.0,2.73,2.34,84.3,9.7,49338.0,1.579,24.696,71.805,3.498,20.5,21.5,21.0,98.8,100.2,99.5,113.2,102.0,107.7,70.0,69.3,69.7,78.672,22.258
세네갈,23116699808.172,23306213742.36,5.0,4.65,48.1,3.1,3256.0,2.709,42.592,54.3,3.108,15.6,17.5,16.5,79.4,91.9,85.6,44.2,48.1,46.1,14.4,8.6,11.5,57.45,35.103
세이셸,1586008999.748,1581380268.643,2.38,2.46,57.5,9.7,25077.0,0.854,23.767,68.167,8.066,94.1,98.5,96.2,97.4,102.4,99.8,76.8,85.9,81.3,12.1,27.9,19.7,,
시에라리온,4085114794.223,4121733705.292,4.84,4.32,42.9,3.6,1381.0,2.075,40.344,56.729,2.927,11.7,13.0,12.3,123.3,125.6,124.5,42.5,41.1,41.8,,,,,
싱가포르,375981539145.907,374386306993.109,1.23,1.21,100.0,11.5,83793.0,0.312,12.301,74.347,13.352,,,,100.7,100.6,100.6,108.1,107.0,107.6,78.9,91.2,84.8,78.151,61.814
슬로바키아,105526182493.787,105119160234.117,1.38,1.5,53.8,12.6,30672.0,0.086,15.554,67.747,16.699,96.0,94.4,95.2,99.0,98.4,98.7,90.5,91.6,91.1,37.1,56.6,46.6,67.076,51.961
슬로베니아,54161636034.652,54174227308.886,1.58,1.6,55.1,12.3,32143.0,0.561,15.136,64.126,20.738,92.5,90.9,91.7,100.2,100.6,100.4,114.2,117.1,115.6,64.9,93.0,78.6,62.779,52.96
솔로몬제도,1574599182.647,1570215577.361,4.44,4.44,,5.5,2027.0,2.515,40.03,56.299,3.671,97.8,99.7,98.7,113.0,112.2,112.6,,,,,,,,
소말리아,4720727283.205,4942319040.698,6.61,6.12,46.1,,,2.874,46.15,50.948,2.902,,,,,,,,,,,,,,
남아프리카공화국,368288939768.322,351431649241.439,2.55,2.41,67.4,10.2,11756.0,1.273,28.801,65.689,5.509,24.6,24.7,24.6,102.6,99.1,100.9,100.4,109.0,104.7,18.4,26.4,22.4,62.646,49.661
스페인,1422153839840.78,1393490524517.64,1.33,1.33,80.8,9.8,35041.0,0.462,14.399,65.623,19.978,92.3,92.6,92.5,101.9,103.6,102.7,125.2,126.9,126.0,81.1,97.0,88.9,62.971,51.636
스리랑카,87954272082.107,83975584254.403,2.21,2.21,18.7,11.1,11611.0,0.531,23.685,65.082,11.233,,,,101.4,99.9,100.6,95.6,100.5,98.0,15.1,22.8,19.0,74.302,35.294
세인트키츠네비스,1010822222.222,1044711111.111,,,30.8,8.5,26770.0,0.675,,,,,,,,,,,,,,,,,
세인트루시아,2065875074.074,2122450629.63,1.51,1.44,18.8,8.5,11528.0,0.455,17.953,71.751,10.296,77.0,82.7,79.8,102.5,101.5,102.0,88.6,89.2,88.9,13.2,26.5,19.9,,
세인트빈센트그레나딘,811300000.0,824718518.519,2.01,1.9,53.0,8.6,11746.0,0.32,21.902,68.188,9.91,108.2,109.8,109.0,111.5,109.8,110.7,108.6,108.6,108.6,,,,,
수단,34522586970.002,32250448249.46,4.75,4.43,35.3,3.7,3962.0,2.391,39.799,56.527,3.674,46.2,47.1,46.6,79.2,74.4,76.8,46.3,47.0,46.6,,,,68.125,29.109
수리남,3996247906.198,4221373022.258,2.56,2.43,66.1,9.1,11933.0,0.903,26.665,66.2,7.135,89.9,90.9,90.4,110.4,110.8,110.6,,,82.3,,,,63.371,38.807
에스와티니,4665424249.062,4471598726.644,3.14,3.03,24.2,6.7,9359.0,1.042,37.443,58.545,4.012,,,,119.9,110.3,115.2,,,,,,,,
스웨덴,555455371487.089,531283304459.667,1.9,1.85,88.0,12.4,47955.0,0.723,17.624,62.048,20.329,96.6,96.1,96.3,125.8,127.4,126.6,148.1,157.9,152.9,52.7,82.1,67.0,67.728,61.447
스위스,735889205256.251,731474367940.429,1.53,1.54,73.9,13.4,59375.0,0.716,14.959,65.944,19.098,104.0,103.1,103.6,105.5,104.8,105.2,104.7,100.2,102.5,58.8,60.3,59.6,73.478,62.85
타지키스탄,7765014424.338,8300784856.879,3.61,3.61,27.5,10.7,3482.0,2.297,37.27,59.55,3.18,10.6,9.2,9.9,101.4,100.3,100.9,,,,35.5,26.9,31.3,,
탄자니아,57003713748.232,61136873747.332,5.24,4.92,35.2,6.0,2805.0,2.937,43.554,53.802,2.644,44.8,45.1,45.0,87.7,90.8,89.2,27.0,27.7,27.3,,,,87.239,79.381
태국,506611070188.362,544263968873.601,1.53,1.53,51.4,7.7,16129.0,0.25,16.553,70.49,12.958,73.8,73.4,73.6,99.6,99.6,99.6,119.0,114.4,116.7,,,,,
동티모르,1559894900.0,2017924900.0,,,31.3,4.5,7527.0,1.939,36.832,58.885,4.283,23.2,23.7,23.4,121.9,117.6,119.8,78.3,83.8,81.0,,,,,
토고,7112200725.002,7220395247.742,4.69,4.35,42.8,5.0,1593.0,2.401,40.636,56.459,2.905,20.9,21.8,21.3,127.3,121.4,124.4,71.6,52.1,61.8,18.0,8.1,13.1,78.921,76.057
통가,489235527.395,512350059.422,3.79,3.58,,11.2,5783.0,1.142,34.765,59.315,5.92,,,,,,,,,,,,,,
트리니다드토바고,23679919654.989,23208326547.533,1.8,1.73,53.2,11.0,28497.0,0.324,20.062,68.423,11.515,,,,,,,,,,,,,69.632,49.807
튀니지,39770478673.165,39195716330.425,2.25,2.2,69.6,7.2,10677.0,1.054,24.291,66.836,8.873,,,,115.9,115.4,115.6,,,,23.1,41.7,32.1,69.152,23.586
터키,778377023568.884,761428183369.171,2.12,2.08,76.1,7.7,24905.0,1.084,23.942,67.077,8.981,33.5,32.0,32.7,93.6,92.7,93.2,108.5,103.4,106.0,,,,72.411,33.934
투르크메니스탄,40765428571.429,45231428571.429,3.0,2.79,52.5,9.8,16407.0,1.488,30.792,64.44,4.768,,,,,,,,,,,,,78.238,51.25
우간다,32912338571.34,35170037380.863,5.78,5.01,25.0,6.1,1752.0,3.27,46.016,51.998,1.986,14.1,14.7,14.4,101.3,104.1,102.7,,,,,,,,
우크라이나,130901858421.72,153929501862.341,1.49,1.44,69.6,11.3,7994.0,0.568,15.991,67.06,16.949,,,,,,,,,,,,,62.802,46.46
아랍에미리트,422215043594.282,421142267937.372,1.7,1.42,87.0,11.0,66912.0,1.219,14.814,83.922,1.264,79.9,76.0,78.0,109.4,107.3,108.4,109.3,100.4,104.9,,,,93.552,52.482
영국,2857507502963.1,2830813507746.87,1.87,1.75,83.9,13.0,39507.0,0.565,17.677,63.669,18.653,106.5,106.3,106.4,101.3,101.0,101.2,124.1,127.7,125.9,51.0,69.4,60.0,68.045,57.686
미국,20611860934000.0,21433224697000.0,1.88,1.78,82.7,13.4,56140.0,0.351,18.372,64.997,16.631,72.7,73.2,72.9,102.2,101.4,101.8,99.2,98.7,99.0,75.0,102.0,88.2,67.917,55.864
우루과이,64515038268.137,61231149880.586,2.01,1.98,95.5,8.7,19435.0,0.346,20.335,64.577,15.088,93.2,93.6,93.4,109.3,107.6,108.5,114.1,126.6,120.2,,,63.1,73.392,55.725
우즈베키스탄,50392607758.232,57726542784.92,2.43,2.43,50.4,11.5,6462.0,1.922,28.8,66.411,4.789,27.5,26.0,26.8,104.4,102.9,103.7,93.9,92.7,93.3,11.4,6.9,9.2,78.078,52.263
바누아투,914727908.138,930337960.037,4.0,3.8,,6.8,2808.0,2.395,38.41,57.981,3.609,,,,,,,,,,,,,,
베트남,245213686369.157,261921244843.172,1.96,2.06,37.3,8.2,6220.0,0.905,23.194,68.94,7.866,97.4,95.6,96.5,108.2,110.2,109.2,,,,,,,82.184,72.591
예멘,23486269598.986,,4.4,3.84,37.9,3.2,1433.0,2.252,38.832,58.237,2.931,,,,,,,,,,,,,70.241,5.687
잠비아,26311637646.654,23308688906.129,5.2,4.66,44.6,7.1,3582.0,2.886,44.017,53.851,2.132,,,,97.5,99.9,98.7,,,,,,,78.972,70.386
짐바브웨,19523622341.613,16932434838.693,4.09,3.63,32.2,8.3,2661.0,1.474,41.911,55.075,3.014,,,,,,,,,,,,,,
맨섬,7491969312.875,,,,52.9,,,0.522,,,,,,,,,,,,,,,,,
코소보,7942961738.309,7953156068.07,,,,,,0.758,,,,,,,,,,,,,,,,,
몬테네그로,5506767831.838,5542674764.89,1.71,1.75,,11.4,17511.0,0.05,18.045,66.186,15.77,62.3,61.9,62.1,98.1,98.1,98.1,89.4,90.5,89.9,50.9,66.1,58.2,62.72,46.557
세르비아,50640650221.462,51475016532.129,1.46,1.46,,11.2,15218.0,0.534,15.367,65.574,19.059,61.3,61.0,61.1,100.3,100.4,100.3,95.1,95.9,95.5,56.7,76.9,66.5,62.592,47.292
터크스케이커스제도,1113178000.0,1197415000.0,,,93.6,,,1.363,,,,,,,,,,,,,,,,,
투발루,42588164.973,47271463.33,,,,,5409.0,1.169,,,,85.8,80.8,83.3,89.4,82.5,86.0,62.5,71.2,66.7,,,,,
미국령버진아일랜드,3984000000.0,,2.29,2.05,95.9,,,0.356,19.256,60.248,20.496,,,,,,,,,,,,,,
세계,86347154919771.9,87607919950618.1,2.52,2.47,56.2,8.4,15745.0,1.036,25.491,65.191,9.318,,,,,,,,,,,,,,
대만,,,1.11,1.15,,,,,,,,,,,,,,,,,,,,,
서사하라,,,2.6,2.41,,,,,,,,,,,,,,,,,,,,,
안길라,,,,,100.0,,,,,,,,,,,,,,,,,,,,
포클랜드,,,,,78.5,,,,,,,,,,,,,,,,,,,,
프랑스령기아나,,,,,85.8,,,,,,,,,,,,,,,,,,,,
교황청,,,,,100.0,,,,,,,,,,,,,,,,,,,,
나우루,,,,,,,17313.0,,,,,,,,,,,,,,,,,,
팔레스타인,,,,,,,,,,,,56.2,56.3,56.2,99.0,98.8,98.9,84.9,93.1,88.9,33.5,54.2,43.7,,
과들루프,,,2.19,2.17,98.5,,,,,,,,,,,,,,,,,,,,
남아메리카,,,,,,,,,,,,,,,,,,,,,,,,,
뉴칼레도니아,,,2.18,1.97,,,,0.243,22.108,68.194,9.698,,,,,,,,,,,,,,
레위니옹,,,2.4,2.27,99.7,,,,,,,,,,,,,,,,,,,,
마르티니크,,,1.98,1.88,89.1,,,,,,,,,,,,,,,,,,,,
몬트세랫,,,,,9.1,,,,,,,63.9,82.1,72.6,97.3,115.0,105.9,106.5,114.8,110.5,,,,,
베네수엘라,,,2.4,2.28,88.3,10.3,9070.0,0.281,27.263,64.765,7.973,69.1,70.0,69.5,98.3,96.0,97.2,84.7,91.6,88.1,,,,74.282,45.145
북아메리카,,,,,,,,,,,,,,,,,,,,,,,,,
북한,,,1.93,1.91,62.4,,,0.438,19.843,70.808,9.349,,,,112.8,112.8,112.8,,,,35.5,18.2,27.0,87.719,73.299
샤넬군도,,,1.58,1.5,31.0,,,0.922,14.974,67.11,17.916,,,,,,,,,,,,,,
시리아,,,3.1,2.84,55.5,5.1,2725.0,2.491,30.775,64.351,4.874,,,,,,,,,,,,,74.042,14.307
아시아,,,,,,,,,,,,,,,,,,,,,,,,,
아프리카,,,,,,,,,,,,,,,,,,,,,,,,,
에리트레아,,,4.35,4.1,41.3,3.9,1708.0,,,,,21.6,21.1,21.4,73.5,63.2,68.5,50.0,44.9,47.5,,,,85.337,71.4
영국령버진아일랜드,,,,,48.5,,,,,,,125.0,140.5,132.5,131.5,125.9,128.8,96.3,107.1,101.6,11.7,20.9,16.3,,
오세아니아,,,,,,,,,,,,,,,,,,,,,,,,,
유럽,,,,,,,,,,,,,,,,,,,,,,,,,
지브롤터,,,,,100.0,,,0.045,,,,210.1,201.4,205.9,103.4,103.7,103.5,119.1,115.7,117.5,,,,,
타이,,,,,,,,,,,,,,,,,,,,,,,,75.793,58.918
프랑스령폴리네시아,,,2.04,1.95,,,,0.578,22.223,68.708,9.068,,,,,,,,,,,,,,
