"국가",2015,2016,2017,2018,2019,2020
"국가",국내총생산(GDP $),국내총생산(GDP $),국내총생산(GDP $),국내총생산(GDP $),국내총생산(GDP $),국내총생산(GDP $)
"아프가니스탄",19907111418.994 (US$),18017749073.636 (US$),18869945678.422 (US$),18353881129.525 (US$),19291104007.614 (US$),19807067268.108 (US$)
"알바니아",11386846319.159 (US$),11861200797.471 (US$),13019693450.882 (US$),15147020535.387 (US$),15286612572.690 (US$),14799615097.101 (US$)
"알제리",165979173991.026 (US$),160034162957.738 (US$),170097230857.956 (US$),175414987760.927 (US$),171157803367.473 (US$),145163902228.168 (US$)
"미국령사모아",673000000.000 (US$),671000000.000 (US$),612000000.000 (US$),641000000.000 (US$),638000000.000 (US$),-
"안도라",2789870187.507 (US$),2896679211.866 (US$),3000180750.113 (US$),3218316013.226 (US$),3155065487.518 (US$),-
"앙골라",116193649124.151 (US$),101123851090.455 (US$),122123822333.590 (US$),101353230784.594 (US$),89417190341.253 (US$),62306913444.292 (US$)
"앤티가바부다",1336692592.593 (US$),1436585185.185 (US$),1467977777.778 (US$),1605351851.852 (US$),1661962962.963 (US$),1415059259.259 (US$)
"아르헨티나",594749285413.212 (US$),557531376217.967 (US$),643628665302.155 (US$),517626700412.885 (US$),445445177459.453 (US$),383066977653.560 (US$)
"아르메니아",10553337672.987 (US$),10546135160.031 (US$),11527458565.733 (US$),12457941907.033 (US$),13672802157.832 (US$),12645459213.524 (US$)
"아루바",2962905027.933 (US$),2983636871.508 (US$),3092430167.598 (US$),3202188606.929 (US$),-,-
"오스트레일리아",1351693984524.500 (US$),1208846993739.990 (US$),1329188475752.320 (US$),1432881172002.170 (US$),1396567014733.230 (US$),1330900925056.980 (US$)
"오스트리아",381971148530.543 (US$),395837353031.499 (US$),417237869115.930 (US$),455094861902.062 (US$),445075391688.156 (US$),428965397959.456 (US$)
"아제르바이잔",53074370486.043 (US$),37867518957.198 (US$),40865558912.387 (US$),47112941176.471 (US$),48174235294.118 (US$),42607176470.588 (US$)
"바하마",11710800000.000 (US$),11928500000.000 (US$),12490700000.000 (US$),13022100000.000 (US$),13578800000.000 (US$),11250000000.000 (US$)
"바레인",31050638297.872 (US$),32234973404.255 (US$),35473776595.745 (US$),37652500000.000 (US$),38474521276.596 (US$),-
"방글라데시",195078678697.230 (US$),221415188000.475 (US$),249710922462.309 (US$),274038973437.275 (US$),302563398919.928 (US$),324239176765.053 (US$)
"바베이도스",4715000000.000 (US$),4830000000.000 (US$),4978000000.000 (US$),5086500000.000 (US$),5209000000.000 (US$),4365500000.000 (US$)
"벨라루스",56454734396.584 (US$),47722657820.668 (US$),54726595249.185 (US$),60031262269.337 (US$),64409647193.804 (US$),60258239055.583 (US$)
"벨기에",462335574841.484 (US$),476062757356.927 (US$),502764720556.354 (US$),543676145773.882 (US$),533254518108.234 (US$),515332499627.861 (US$)
"벨리즈",1721700991.469 (US$),1789304087.786 (US$),1858529676.719 (US$),1915899786.964 (US$),1982518540.613 (US$),1763696118.952 (US$)
"베냉",11388160997.109 (US$),11821065852.127 (US$),12701655845.961 (US$),14250987026.053 (US$),14391686309.033 (US$),15651545208.878 (US$)
"버뮤다",6654541000.000 (US$),6899911000.000 (US$),7142316000.000 (US$),7224329000.000 (US$),7484113000.000 (US$),-
"부탄",2003598212.991 (US$),2158972129.003 (US$),2450364928.073 (US$),2446866404.931 (US$),2530547157.567 (US$),2409262838.220 (US$)
"볼리비아",33000198248.915 (US$),33941126193.922 (US$),37508642170.767 (US$),40287647930.536 (US$),40895322850.941 (US$),36688861202.605 (US$)
"보스니아-헤르체고비나",16211541820.244 (US$),16913330693.965 (US$),18080118128.385 (US$),20183510561.255 (US$),20202479537.519 (US$),19788422248.107 (US$)
"보츠와나",14420593484.056 (US$),15646354089.458 (US$),17405588070.433 (US$),18663265549.020 (US$),18362348887.587 (US$),15781732825.893 (US$)
"브라질",1802214373741.320 (US$),1795700168991.490 (US$),2063507864886.880 (US$),1916947014067.550 (US$),1877810514260.360 (US$),1444733258971.650 (US$)
"브루나이",12930394937.814 (US$),11400854267.719 (US$),12128104859.150 (US$),13567351175.032 (US$),13469422941.392 (US$),12016056665.347 (US$)
"불가리아",50647442756.745 (US$),53806894796.380 (US$),58971520599.251 (US$),66230155099.578 (US$),68558815111.620 (US$),69105101089.553 (US$)
"부르키나파소",11832159275.603 (US$),12833363370.174 (US$),14106956830.086 (US$),16059910870.624 (US$),15990803569.996 (US$),17369059295.223 (US$)
"부룬디",3104394792.284 (US$),2959641046.923 (US$),3172292379.363 (US$),3036937141.271 (US$),3012308945.627 (US$),3258187232.632 (US$)
"캄보디아",18049954289.430 (US$),20016747754.015 (US$),22177200511.588 (US$),24571753583.504 (US$),27089389786.968 (US$),25291251427.398 (US$)
"카메룬",30928653813.854 (US$),32643697595.838 (US$),35009262788.150 (US$),38694156862.992 (US$),39007354359.280 (US$),39802147568.217 (US$)
"캐나다",1556508816217.140 (US$),1527994741907.430 (US$),1649265644244.090 (US$),1721822141487.590 (US$),1741576393905.980 (US$),1643407977068.930 (US$)
"카보베르데",1596800287.164 (US$),1662998677.884 (US$),1769787215.421 (US$),1966983316.326 (US$),1981845740.706 (US$),1703698676.697 (US$)
"케이맨제도",4708336733.469 (US$),4909498979.959 (US$),5166467298.692 (US$),5522625585.023 (US$),5935769350.774 (US$),-
"중앙아프리카공화국",1695825714.243 (US$),1825018144.462 (US$),2072349974.153 (US$),2220979144.520 (US$),2220307318.749 (US$),2303078337.574 (US$)
"차드",10950392219.910 (US$),10097778353.765 (US$),10000395242.146 (US$),11239167048.492 (US$),11314951342.781 (US$),10093118570.292 (US$)
"칠레",243919079437.373 (US$),250440149690.889 (US$),277034675515.671 (US$),297571693064.212 (US$),279385487344.526 (US$),252940023046.011 (US$)
"중국",11061553079871.500 (US$),11233276536744.700 (US$),12310409370894.200 (US$),13894817549380.300 (US$),14279937467431.000 (US$),14722730697890.100 (US$)
"홍콩",309383627028.561 (US$),320837638328.846 (US$),341244161576.759 (US$),361691522612.745 (US$),363016373358.517 (US$),346585881503.635 (US$)
"콜롬비아",293481748240.779 (US$),282825009887.458 (US$),311883730690.129 (US$),334198214706.209 (US$),323429888934.257 (US$),271346896626.418 (US$)
"코모로",966029599.801 (US$),1012835492.516 (US$),1077439756.122 (US$),1178530633.815 (US$),1165839899.803 (US$),1219690024.503 (US$)
"콩고민주공화국",37917704900.079 (US$),37134799974.523 (US$),38019265625.885 (US$),46831342212.547 (US$),50400746171.424 (US$),49868970641.106 (US$)
"콩고",11885478502.053 (US$),10158508345.310 (US$),11109029840.248 (US$),13642740884.136 (US$),12693562947.786 (US$),10884686142.644 (US$)
"코스타리카",56441917652.981 (US$),58847016044.736 (US$),60516043590.183 (US$),62335931464.498 (US$),63951114302.260 (US$),61520669890.404 (US$)
"코트디부아르",45814637971.475 (US$),47964234560.051 (US$),51588158717.535 (US$),58011466450.864 (US$),58539424929.725 (US$),61348579465.102 (US$)
"크로아티아",49525747503.815 (US$),51601147665.809 (US$),55481644098.050 (US$),61375222347.026 (US$),60752588976.318 (US$),55966581780.169 (US$)
"쿠바",87133000000.000 (US$),91370000000.000 (US$),96851000000.000 (US$),100050000000.000 (US$),103131000000.000 (US$),-
"키프로스",19842404304.893 (US$),20953442550.365 (US$),22729184365.115 (US$),25309818138.876 (US$),24949065263.629 (US$),23804340376.928 (US$)
"체코",188033050459.881 (US$),196272068576.338 (US$),218628940951.675 (US$),248950103352.137 (US$),250686478649.064 (US$),243530379896.813 (US$)
"덴마크",302673070846.857 (US$),313115929314.339 (US$),332121063806.391 (US$),356879499797.896 (US$),350104327658.675 (US$),355184024841.254 (US$)
"지부티",2430287967.027 (US$),2603554906.595 (US$),2751461055.593 (US$),3012820409.633 (US$),3324634256.133 (US$),3384404260.072 (US$)
"도미니카연방",540737037.037 (US$),576229629.630 (US$),519837037.037 (US$),551074074.074 (US$),574607407.407 (US$),469870370.370 (US$)
"도미니카공화국",71164825256.685 (US$),75704720189.561 (US$),79997975621.865 (US$),85555378042.820 (US$),88941299733.502 (US$),78844702329.079 (US$)
"에콰도르",99290381000.000 (US$),99937696000.000 (US$),104295862000.000 (US$),107562008000.000 (US$),108108009000.000 (US$),98808010000.000 (US$)
"이집트",329366576819.407 (US$),332441717791.411 (US$),235733695652.174 (US$),249712999437.254 (US$),303080865603.645 (US$),363069245165.315 (US$)
"엘살바도르",23438240000.000 (US$),24191430000.000 (US$),24979200000.000 (US$),26020850000.000 (US$),26896660000.000 (US$),24638720000.000 (US$)
"적도기니",13185496881.406 (US$),11240808846.693 (US$),12200913887.642 (US$),13097012189.400 (US$),11417278044.986 (US$),10021856754.494 (US$)
"에스토니아",23058135438.240 (US$),24276032336.423 (US$),26951648828.579 (US$),30631142226.853 (US$),31471100656.243 (US$),31029968591.278 (US$)
"에티오피아",64589334978.801 (US$),74296618481.088 (US$),81770791970.982 (US$),84269348327.345 (US$),95912590628.141 (US$),107645054311.876 (US$)
"페로제도",2518096285.617 (US$),2738832687.137 (US$),2899226097.624 (US$),3051341335.952 (US$),3126293219.780 (US$),-
"피지",4682546863.082 (US$),4930204229.723 (US$),5353404422.081 (US$),5581393120.629 (US$),5496250694.316 (US$),4376014755.576 (US$)
"핀란드",234534382384.766 (US$),240771351298.833 (US$),255647979916.471 (US$),275984345123.137 (US$),268966065200.000 (US$),271233883403.892 (US$)
"프랑스",2439188643162.500 (US$),2472964344587.170 (US$),2595151045197.650 (US$),2787863958885.490 (US$),2715518274227.450 (US$),2603004395901.950 (US$)
"가봉",14383107714.039 (US$),14023890620.338 (US$),14929488770.732 (US$),16862282413.878 (US$),16874450215.135 (US$),15593181270.914 (US$)
"감비아",1378176868.316 (US$),1484579844.371 (US$),1504909753.287 (US$),1670670668.594 (US$),1826073739.825 (US$),1901930157.645 (US$)
"조지아",14953950557.441 (US$),15141758566.781 (US$),16242916915.720 (US$),17599700090.762 (US$),17477255562.258 (US$),15891688903.184 (US$)
"독일",3357585719351.560 (US$),3469853463945.530 (US$),3682602479929.420 (US$),3963767526250.980 (US$),3861123558039.210 (US$),3806060140124.520 (US$)
"가나",47498906691.618 (US$),54499451834.106 (US$),58845211998.346 (US$),65315955122.808 (US$),67234292582.761 (US$),72354428864.903 (US$)
"그리스",195396559260.805 (US$),192863396868.058 (US$),200125137434.290 (US$),212249754841.292 (US$),205326724570.227 (US$),189410106620.016 (US$)
"그린란드",2499115623.003 (US$),2707146783.131 (US$),2826651925.669 (US$),3051626389.637 (US$),-,-
"그레나다",997007925.926 (US$),1061631222.222 (US$),1125685185.185 (US$),1168696296.296 (US$),1211403703.704 (US$),1089203703.704 (US$)
"괌",5799000000.000 (US$),5901000000.000 (US$),6013000000.000 (US$),6051000000.000 (US$),6311000000.000 (US$),-
"과테말라",62186186575.743 (US$),66053725049.014 (US$),71654134378.530 (US$),73208583758.911 (US$),77020015201.320 (US$),77604632170.585 (US$)
"기니",8794202443.678 (US$),8595955581.213 (US$),10324668266.595 (US$),11857030336.527 (US$),13513809258.208 (US$),15681050917.159 (US$)
"기니비사우",1048229629.420 (US$),1179004941.229 (US$),1350177127.552 (US$),1504630120.993 (US$),1439638443.381 (US$),1431758242.904 (US$)
"가이아나",4279840361.683 (US$),4482697336.562 (US$),4748174334.190 (US$),4787635821.461 (US$),5173759527.507 (US$),5471256594.724 (US$)
"아이티",14857386163.918 (US$),13723267960.843 (US$),14213814582.794 (US$),15965670198.455 (US$),14332163266.398 (US$),13417997065.110 (US$)
"온두라스",20979767785.210 (US$),21717622071.382 (US$),23136232229.607 (US$),24067778953.842 (US$),25089976946.774 (US$),23827840809.701 (US$)
"헝가리",125074286021.140 (US$),128470534117.954 (US$),142961605733.026 (US$),160431092908.646 (US$),163503650313.081 (US$),155012927629.087 (US$)
"아이슬란드",17517210519.091 (US$),20793168030.952 (US$),24728285177.460 (US$),26224228693.395 (US$),24836714771.464 (US$),21714670569.603 (US$)
"인도",2103587813812.200 (US$),2294797980509.510 (US$),2651472946375.050 (US$),2701111782774.570 (US$),2870504096717.480 (US$),2622983732006.450 (US$)
"인도네시아",860854235065.079 (US$),931877364177.742 (US$),1015618742565.810 (US$),1042271531011.990 (US$),1119091259074.620 (US$),1058423838345.140 (US$)
"이란",384951479697.420 (US$),417983583565.540 (US$),445345256459.105 (US$),294356680624.658 (US$),258245497664.394 (US$),191718271483.759 (US$)
"이라크",166774109673.732 (US$),166602488747.885 (US$),190643898226.351 (US$),212271807144.367 (US$),222434137055.838 (US$),167224432560.319 (US$)
"아일랜드",291639154650.168 (US$),299759848650.387 (US$),339341385919.831 (US$),386155676371.470 (US$),398590210120.337 (US$),418621818482.305 (US$)
"이스라엘",300122499721.281 (US$),318616506157.945 (US$),352667925811.028 (US$),370455651179.958 (US$),394652208893.138 (US$),401953804837.087 (US$)
"이탈리아",1836637711060.550 (US$),1877071687633.780 (US$),1961796197354.360 (US$),2092138739019.840 (US$),2004913357800.000 (US$),1886445268340.710 (US$)
"자메이카",14188935947.569 (US$),14077109396.858 (US$),14808989993.319 (US$),15730793852.791 (US$),15830768549.892 (US$),13812421803.408 (US$)
"일본",4389475622588.970 (US$),4922538141454.620 (US$),4866864409657.680 (US$),4954806619995.190 (US$),5064872875604.590 (US$),-
"요르단",38587017887.324 (US$),39892551126.761 (US$),41408960845.070 (US$),42932112676.056 (US$),44502895915.493 (US$),43697659275.314 (US$)
"카자흐스탄",184388432148.715 (US$),137278320084.171 (US$),166805800595.704 (US$),179339994859.384 (US$),181667190075.541 (US$),169835426427.153 (US$)
"케냐",64007750169.334 (US$),69188755364.300 (US$),78965004656.182 (US$),87778582964.139 (US$),95503088538.092 (US$),98842939649.115 (US$)
"키리바시",171117872.436 (US$),178328873.030 (US$),187276210.914 (US$),196737895.995 (US$),194647201.946 (US$),199573325.993 (US$)
"한국",1465773245547.150 (US$),1500111596236.370 (US$),1623901496835.790 (US$),1724845615629.260 (US$),1646739219509.890 (US$),1630525005469.110 (US$)
"쿠웨이트",114567298105.683 (US$),109419728566.700 (US$),120707435412.358 (US$),138182400493.585 (US$),136196760180.976 (US$),-
"키르기스스탄",6678178340.451 (US$),6813092065.835 (US$),7702934800.128 (US$),8271106196.043 (US$),8871019822.767 (US$),7735976612.642 (US$)
"라오스",14390442307.400 (US$),15805692545.872 (US$),16853087485.412 (US$),17953786416.143 (US$),18245925331.240 (US$),19136194848.653 (US$)
"라트비아",27250610746.068 (US$),28071381729.731 (US$),30458763245.512 (US$),34416012859.187 (US$),34055464655.325 (US$),33505185228.707 (US$)
